namespace,code,name,aliases,version,status,valid_from,valid_to
dcsa.tnt.shipment_event_type,RECE,Received,received,2.3.0,active,,
dcsa.tnt.shipment_event_type,DRFT,Drafted,drafted|draft,2.3.0,active,,
dcsa.tnt.shipment_event_type,PENA,Pending Approval,pending approval,2.3.0,active,,
dcsa.tnt.shipment_event_type,PENU,Pending Update,pending update,2.3.0,active,,
dcsa.tnt.shipment_event_type,PENC,Pending Confirmation,pending confirmation,2.3.0,active,,
dcsa.tnt.shipment_event_type,CONF,Confirmed,confirmed,2.3.0,active,,
dcsa.tnt.shipment_event_type,REJE,Rejected,rejected,2.3.0,active,,
dcsa.tnt.shipment_event_type,APPR,Approved,approved,2.3.0,active,,
dcsa.tnt.shipment_event_type,ISSU,Issued,issued,2.3.0,active,,
dcsa.tnt.shipment_event_type,SURR,Surrendered,surrendered,2.3.0,active,,
dcsa.tnt.shipment_event_type,SUBM,Submitted,submitted,2.3.0,active,,
dcsa.tnt.shipment_event_type,VOID,Void,void,2.3.0,active,,
dcsa.tnt.shipment_event_type,REQS,Requested,requested,2.3.0,active,,
dcsa.tnt.shipment_event_type,CMPL,Completed,completed,2.3.0,active,,
dcsa.tnt.shipment_event_type,HOLD,On Hold,on hold,2.3.0,active,,
dcsa.tnt.shipment_event_type,RELS,Released,released,2.3.0,active,,
dcsa.tnt.shipment_event_type,CANC,Cancelled,cancelled|canceled,2.3.0,active,,
dcsa.tnt.equipment_event_type,LOAD,Loaded,loaded,2.3.0,active,,
dcsa.tnt.equipment_event_type,DISC,Discharged,discharged,2.3.0,active,,
dcsa.tnt.equipment_event_type,GTIN,Gated In,gated in|gate in,2.3.0,active,,
dcsa.tnt.equipment_event_type,GTOT,Gated Out,gated out|gate out,2.3.0,active,,
dcsa.tnt.equipment_event_type,STUF,Stuffed,stuffed,2.3.0,active,,
dcsa.tnt.equipment_event_type,STRP,Stripped,stripped,2.3.0,active,,
dcsa.tnt.equipment_event_type,PICK,Pick-up,pickup|pick up,2.3.0,active,,
dcsa.tnt.equipment_event_type,DROP,Drop-off,dropoff|drop off,2.3.0,active,,
dcsa.tnt.equipment_event_type,INSP,Inspected,inspected,2.3.0,active,,
dcsa.tnt.equipment_event_type,RSEA,Resealed,resealed,2.3.0,active,,
dcsa.tnt.equipment_event_type,RMVD,Removed,removed,2.3.0,active,,
dcsa.tnt.transport_event_type,ARRI,Arrived,arrived|arrival,2.3.0,active,,
dcsa.tnt.transport_event_type,DEPA,Departed,departed|departure,2.3.0,active,,
dcsa.tnt.document_type,CBR,Carrier Booking Request,carrier booking request,2.3.0,active,,
dcsa.tnt.document_type,BKG,Booking,booking,2.3.0,active,,
dcsa.tnt.document_type,SHI,Shipping Instruction,shipping instruction,2.3.0,active,,
dcsa.tnt.document_type,SRM,Shipment Release Message,shipment release message,2.3.0,active,,
dcsa.tnt.document_type,TRD,Transport Document,transport document,2.3.0,active,,
dcsa.tnt.document_type,ARN,Arrival Notice,arrival notice,2.3.0,active,,
dcsa.tnt.document_type,VGM,Verified Gross Mass,verified gross mass,2.3.0,active,,
dcsa.tnt.document_type,CAS,Cargo Survey,cargo survey,2.3.0,active,,
dcsa.tnt.document_type,CUS,Customs Inspection,customs inspection,2.3.0,active,,
dcsa.tnt.document_type,DGD,Dangerous Goods Declaration,dangerous goods declaration,2.3.0,active,,
dcsa.tnt.document_type,OOG,Out of Gauge,out of gauge,2.3.0,active,,
